model,diagram,sys_id,smell,error_type,confidence,gt_score,explanation
gemini-2.5-pro,3-enterprise-planer,3,microservice_greedy,FP,4.0,1.0,"The API Gateway is clearly exhibiting the Microservice Greedy smell. It has accumulated too many responsibilities and dependencies, acting as a central hub that is coupled to every other service in the architecture (Authentication, Authorization, and all business microservices). Its responsibilities include not only being the single access point but also handling protocol translation (JSON to Protobuf) and routing/orchestrating requests to all downstream services. This high degree of fan-out makes the API Gateway a single point of failure, a development bottleneck, and a component that violates the single responsibility principle, behaving more like a monolith's facade than a lightweight gateway."
gemini-2.5-pro,4-e-shop-on-containers,4,nano_service,FP,3.0,2.0,"The 'Webhooks API' service is a strong candidate for the Nano Service smell. It appears to handle a very specific, technical function rather than a broader business capability. This type of functionality is often better integrated into the services that actually generate the events for the webhooks (e.g., the Ordering microservice notifying about order status changes). Maintaining it as a separate, independently deployable service likely introduces unnecessary operational overhead (deployment pipelines, monitoring, networking) for a responsibility that is too fine-grained. While the 'Basket microservice' is also small, its separation is more justifiable as it represents a distinct part of the user journey with different data storage requirements (a cache like Redis) compared to other services."
gemini-2.5-pro,1-cqrs-microservice-sampler,1,shared_database,FP,3.0,2.0,"The diagram illustrates a CQRS architecture with a single MongoDB instance for 'Persistent event storage'. The 'Command Microservice' is shown to be responsible for this storage. In a CQRS pattern, the 'Query Microservice' needs access to this data to build its read models. Although a direct connection from the 'Query Microservice' to MongoDB is not explicitly drawn, the presence of only one database strongly implies that both services share it. This sharing creates tight coupling at the data layer, which is characteristic of the Shared Database smell."
gpt-5.3-codex,1-cqrs-microservice-sampler,1,nano_service,FN,2.0,3.0,"The diagram shows a standard CQRS/supporting-infrastructure split where Discovery, Config, and Gateway each have narrowly scoped responsibilities, but these are common platform capabilities rather than clear business nano-services. Command and Query are appropriately separated, and MongoDB/RabbitMQ are infrastructure components. Without evidence of excessive service count within business domains or chatty calls caused by over-fragmentation, Nano Service is unlikely, though the support services are the closest candidates."
gpt-5.3-codex,3-enterprise-planer,3,nano_service,FN,2.5,3.0,"The diagram suggests Authentication and Authorization are isolated as standalone services with very narrow, single-purpose responsibilities (token validation and permission check) and are invoked through the API Gateway. This can indicate over-fragmentation into tiny deployables, especially if they mainly act as thin checks rather than substantial domain capabilities. However, these are also common cross-cutting concerns that are often separated intentionally, so the smell is likely but not unequivocal."
gpt-5.3-codex,5-lakeside-mutual,5,cyclic_dependency,FP,4.0,1.0,A clear cycle is visible among backend services: Customer Management Backend → Spring Boot Admin → Customer Self-Service Backend → Customer Management Backend. Another cycle is also present via Policy Management Backend: Customer Self-Service Backend ↔ Policy Management Backend (bidirectional ActiveMQ) and Spring Boot Admin → Policy Management Backend → Customer Core with returns into the same backend cluster. These circular chains indicate tightly coupled services and support a clear Cyclic Dependency smell.
gpt-5.3-codex,6-spinnaker,6,cyclic_dependency,FP,4.0,2.0,"The diagram shows multiple bidirectional dependency paths that close loops among core services. In particular, Gate depends on several backend services (including Orca/Clouddriver/Front50/Fiat/Echo/Keel), while those services also have interdependencies that route back through peers (e.g., Orca ↔ Clouddriver/Front50/Fiat chains, Keel → Echo and links into the same backend set), forming circular chains rather than a strict acyclic layering. This indicates cyclic dependency is clearly present."
gpt-5.4,9-vehicle-tracking-microservices,9,microservice_greedy,FN,2.5,4.0,"The diagram shows a broad platform with many distinct services and infrastructure components rather than one obviously oversized microservice. There are a few potentially broad components—especially the Facade service layer, API Gateway, and Reporting / Data / DSS—that may aggregate multiple responsibilities, but the diagram is too high-level to conclude they behave like monoliths. Overall, Microservice Greedy is unlikely present based on this view alone, though these components would merit closer inspection."
gpt-5.4,1-cqrs-microservice-sampler,1,nano_service,FN,2.0,3.0,"The diagram shows a fairly standard CQRS microservice setup with infrastructure-oriented services such as discovery, config, and gateway separated from command/query responsibilities. These services each appear to have a distinct cross-cutting platform role rather than an obviously trivial business responsibility. While Discovery, Config, and Gateway could be considered small in scope, their separation is common and justified in many microservice architectures. Based on the diagram alone, there is limited evidence that any service is excessively fine-grained to the point of being a Nano Service."
gpt-5.4,5-lakeside-mutual,5,cyclic_dependency,FP,4.0,1.0,"The diagram shows clear service-to-service cycles. Most explicitly, Customer Self-Service Backend and Policy Management Backend have a bidirectional dependency via ActiveMQ. There is also a larger cycle: Customer Self-Service Backend → Spring Boot Admin → Policy Management Backend → Customer Self-Service Backend. Another cycle is Customer Management Backend → Customer Core → Customer Management Backend. These circular chains indicate cyclic dependency is clearly present."
gpt-5.4,6-spinnaker,6,cyclic_dependency,FP,4.0,2.0,"The diagram shows multiple circular dependency paths among core services. In particular, Gate depends on Keel and other backend services, Keel depends on Echo and Igor, Echo depends on Orca and Front50, Orca depends on Clouddriver, Front50, and Fiat, and several of these services feed back into Fiat and other shared services. A clear cycle is visible such as Gate → Keel → Echo → Orca → Fiat, with Gate also directly depending on Fiat, and additional intertwined paths among Keel, Igor, Echo, and Orca. These interconnected loops indicate cyclic dependencies are clearly present."
gpt-5.4,6-spinnaker,6,nano_service,FP,3.0,1.0,"The diagram shows a relatively large number of small, narrowly scoped services connected through many inter-service calls. In particular, Igor, Echo, Front50, and Fiat appear to each handle specialized concerns and depend on or are depended on by several other services, which suggests fine-grained decomposition. While this may be intentional in a platform architecture, the combination of many small services and dense communication indicates the Nano Service smell is likely present."
llama-4-maverick,1-cqrs-microservice-sampler,1,nano_service,FN,2.0,3.0,"The Config Microservice is likely too fine-grained as it only allows the 'externalisation' of app configuration, which could potentially be handled by another service or as part of the application's codebase, thus not justifying its existence as an independent deployable unit."
llama-4-maverick,3-enterprise-planer,3,nano_service,FN,2.0,3.0,"The diagram shows multiple microservices, but 'Authentication' and 'Authorization' services have relatively simple responsibilities. However, authentication and authorization are critical and complex tasks that often require separate handling due to their distinct nature and security implications. Without more detailed information about their internal complexity, it's hard to definitively classify them as nano services."
llama-4-maverick,9-vehicle-tracking-microservices,9,nano_service,FN,2.5,4.0,"The presence of multiple 'Lambda' services and a 'Lambda Calc. Engine' suggests potential nano services due to their fine-grained nature and the likelihood of trivial responsibilities. Lambda functions are typically used for small, event-driven tasks, which might indicate a nano service if not properly aggregated or if they are too specialized."
llama-4-maverick,5-lakeside-mutual,5,cyclic_dependency,FP,4.0,1.0,"The services 'Customer Management Backend', 'Customer Self-Service Backend', and 'Policy Management Backend' form a cyclic dependency chain. 'Customer Management Backend' depends on 'Customer Self-Service Backend', 'Customer Self-Service Backend' depends on 'Policy Management Backend' via ActiveMQ, and 'Policy Management Backend' depends on 'Customer Management Backend'. This cycle makes independent deployment impossible for these services and complicates fault isolation."
llama-4-maverick,4-e-shop-on-containers,4,microservice_greedy,FP,3.0,1.0,"The Ordering microservice appears to have multiple responsibilities, as it includes both 'Ordering API' and 'Ordering BackgroundTasks'. This could indicate that it is handling too many tasks, potentially violating the single responsibility principle."
llama-4-maverick,8-spring-cloud-netflix-example,8,nano_service,FP,3.0,2.0,"The diagram shows two services, Service-A and Service-B, each clustered with multiple instances. While they are not excessively fine-grained, their responsibilities are not clearly defined. However, the presence of multiple infrastructure-related services (e.g., Eureka, Config Center, Hystrix Dashboard, Zipkin) with specific, potentially limited responsibilities, suggests that some services might be too fine-grained. Service-A and Service-B are likely candidates for being nano services if their responsibilities are trivial."
qwen-vl-max,7-spring-petclinic-microservices,7,microservice_greedy,FN,1.0,4.0,"The diagram shows a well-structured microservices architecture with clearly separated services (customers-service, genai-service, vets-service, pets-service) each with distinct responsibilities and dedicated data stores. The UI + API Gateway acts as a routing layer without handling business logic, and there are no indications of any single service accumulating excessive responsibilities or dependencies. Each service appears to adhere to the single responsibility principle, and there is no evidence of monolithic behavior. Therefore, the Microservice Greedy smell is not present."
qwen-vl-max,9-vehicle-tracking-microservices,9,microservice_greedy,FN,2.5,4.0,"The diagram shows a well-structured microservices architecture with clearly separated concerns such as API Gateway, Event Streaming, Workflows, and specialized services like Reporting, Identity, and Monitoring. While there are several components, none appear to be overly burdened with multiple responsibilities or excessive dependencies. The presence of a 'Facade Srv' suggests abstraction, but it is not evident that any single service has accumulated too many responsibilities. Therefore, the Microservice Greedy smell is unlikely present."
qwen-vl-max,1-cqrs-microservice-sampler,1,nano_service,FN,2.0,3.0,"The diagram shows a CQRS-based microservice architecture with well-defined services such as Gateway, Command, Query, Discovery, Config, and infrastructure components like MongoDB and RabbitMQ. While the services are numerous, each appears to have a distinct and meaningful responsibility (e.g., command processing, query handling, configuration management). There is no evidence of services performing trivial or overly narrow tasks that would justify labeling them as 'nano services.' The presence of Docker and service discovery suggests a mature design focused on scalability and flexibility, rather than over-decomposition. Therefore, the Nano Service smell is unlikely present."
qwen-vl-max,3-enterprise-planer,3,nano_service,FN,2.0,3.0,"The architecture shows a set of well-defined microservices such as Customers, Orders, Shipping, Production, Quality, and Administration, each with clear responsibilities. The Authentication and Authorization services are also distinct but serve critical cross-cutting concerns. While these services are small in scope, they represent meaningful business or security functions that justify their independence. There is no evidence of overly fine-grained services performing trivial tasks. Therefore, the Nano Service smell is unlikely present."
qwen-vl-max,5-lakeside-mutual,5,nano_service,FN,2.0,4.0,"The diagram shows a microservice architecture with several backend services such as Customer Management Backend, Customer Self-Service Backend, Policy Management Backend, and Risk Management Server. While there are multiple services, none appear to be overly fine-grained or performing trivial responsibilities. Each service has a distinct domain (e.g., customer management, policy management), and the communication patterns suggest meaningful interactions rather than excessive granularities. The presence of shared components like Customer Core and Spring Boot Admin indicates modular design but not necessarily nano services. Therefore, the Nano Service smell is unlikely present."
qwen-vl-max,5-lakeside-mutual,5,cyclic_dependency,FP,4.0,1.0,"There is a clear cycle involving multiple backend services: Customer Management Backend → Customer Core → Customer Self-Service Backend → Policy Management Backend → Customer Management Backend. This forms a circular dependency chain, preventing independent deployment and complicating fault isolation. Additionally, Spring Boot Admin has bidirectional dependencies with several backends, further contributing to the cyclic nature."
